doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
ECB_20240718,2024-07-18,0,0,0,2,7,0.1111111111111111
ECB_20240912,2024-09-12,0,0,1,0,7,-0.0625
ECB_20241017,2024-10-17,1,0,1,3,6,0.0
ECB_20241212,2024-12-12,0,0,1,0,10,-0.045454545454545456
ECB_20250130,2025-01-30,0,0,2,0,6,-0.125
ECB_20250306,2025-03-06,0,0,1,0,7,-0.0625
ECB_20250417,2025-04-17,0,0,2,0,6,-0.125
ECB_20250605,2025-06-05,1,0,0,1,8,-0.05
ECB_20250724,2025-07-24,0,0,0,0,8,0.0
ECB_20250911,2025-09-11,0,0,0,0,9,0.0
ECB_20251030,2025-10-30,0,0,0,0,11,0.0
ECB_20251218,2025-12-18,0,0,0,1,8,0.05555555555555555
